aaer_event_key,url,fraud_flag
629,https://www.sec.gov/litigation/admin/34-45135.htm,0
630,https://www.sec.gov/litigation/litreleases/lr16730.htm,1
631,https://www.sec.gov/litigation/litreleases/lr17204.htm,1
632,https://www.sec.gov/litigation/investreport/34-44969.htm,1
633,https://www.sec.gov/litigation/admin/33-8025.htm,0
634,https://www.sec.gov/litigation/litreleases/lr17167.htm,1
635,https://www.sec.gov/litigation/admin/34-44902.htm,0
636,https://www.sec.gov/litigation/litreleases/lr16734.htm,1
637,https://www.sec.gov/litigation/litreleases/lr16728.htm,1
638,https://www.sec.gov/litigation/admin/34-44816.htm,1
639,https://www.sec.gov/litigation/admin/34-44633.htm,1
640,https://www.sec.gov/litigation/admin/34-43361.htm,1
641,https://www.sec.gov/litigation/admin/34-43497.htm,0
642,https://www.sec.gov/litigation/admin/34-44581.htm,1
643,https://www.sec.gov/litigation/admin/34-43359.htm,1
644,https://www.sec.gov/litigation/litreleases/lr17058.htm,1
645,https://www.sec.gov/litigation/admin/34-44473.htm,0
646,https://www.sec.gov/litigation/admin/34-44444.htm,0
647,https://www.sec.gov/litigation/admin/34-43883.htm,0
648,https://www.sec.gov/litigation/admin/34-44388.htm,0
649,https://www.sec.gov/litigation/litreleases/lr16924.htm,1
650,https://www.sec.gov/litigation/admin/34-43360.htm,0
651,https://www.sec.gov/litigation/litreleases/lr16709.htm,1
652,https://www.sec.gov/litigation/admin/34-43183.htm,1
653,https://www.sec.gov/litigation/admin/34-43068.htm,0
654,https://www.sec.gov/litigation/litreleases/lr16625.htm,1
659,https://www.sec.gov/litigation/admin/34-42987.htm,0
660,https://www.sec.gov/litigation/admin/34-42432.htm,1
661,https://www.sec.gov/litigation/admin/34-42979.htm,0
662,https://www.sec.gov/litigation/admin/34-42968.htm,1
663,https://www.sec.gov/litigation/litreleases/lr16587.htm,1
664,https://www.sec.gov/litigation/admin/34-42879.htm,1
665,https://www.sec.gov/litigation/admin/34-42021.htm,1
666,https://www.sec.gov/litigation/litreleases/lr16516.htm,1
667,https://www.sec.gov/litigation/litreleases/lr16492.htm,1
668,https://www.sec.gov/litigation/admin/34-42547.htm,0
669,https://www.sec.gov/litigation/litreleases/lr16466.htm,1
670,https://www.sec.gov/litigation/litreleases/lr16444.htm,1
671,https://www.sec.gov/litigation/admin/34-42109.htm,0
672,https://www.sec.gov/litigation/admin/34-42410.htm,0
673,https://www.sec.gov/litigation/admin/34-42394.htm,0
674,https://www.sec.gov/litigation/admin/34-42392.htm,1
675,https://www.sec.gov/litigation/litreleases/lr16409.htm,0
676,https://www.sec.gov/litigation/admin/34-42229.htm,1
677,https://www.sec.gov/litigation/admin/34-42031.htm,1
678,https://www.sec.gov/litigation/litreleases/lr16354.htm,1
679,https://www.sec.gov/litigation/admin/34-42139.htm,1
680,https://www.sec.gov/litigation/admin/34-42079.htm,1
681,https://www.sec.gov/litigation/admin/34-42030.htm,0
759,https://www.sec.gov/litigation/admin/34-42387.htm,0
760,https://www.sec.gov/litigation/admin/33-7854.htm,1
762,https://www.sec.gov/litigation/admin/34-42828.htm,0
766,https://www.sec.gov/litigation/admin/34-42045.htm,1
767,https://www.sec.gov/litigation/litreleases/lr16344.htm,1
796,https://www.sec.gov/litigation/litreleases/lr18358.htm,1
805,https://www.sec.gov/litigation/litreleases/lr17996.htm,1
809,https://www.sec.gov/litigation/admin/34-42124.htm,0
811,https://www.sec.gov/litigation/admin/34-42157.htm,0
