aaer_event_key,url,fraud_flag
626,https://www.sec.gov/litigation/litreleases/lr17297.htm,1
627,https://www.sec.gov/litigation/admin/34-45159.htm,1
628,https://www.sec.gov/litigation/litreleases/lr17262.htm,1
629,https://www.sec.gov/litigation/admin/34-45135.htm,0
630,https://www.sec.gov/litigation/litreleases/lr17250.htm,1
631,https://www.sec.gov/litigation/litreleases/lr17204.htm,1
632,https://www.sec.gov/litigation/admin/34-44970.htm,0
633,https://www.sec.gov/litigation/litreleases/lr19413.htm,1
634,https://www.sec.gov/litigation/litreleases/lr17196.htm,1
635,https://www.sec.gov/litigation/litreleases/lr17169.htm,0
636,https://www.sec.gov/litigation/litreleases/lr18370.htm,1
637,https://www.sec.gov/litigation/litreleases/lr17564.htm,1
638,https://www.sec.gov/litigation/litreleases/lr18171.htm,1
639,https://www.sec.gov/litigation/admin/34-44711.htm,0
640,https://www.sec.gov/litigation/litreleases/lr18357.htm,1
641,https://www.sec.gov/litigation/admin/2009/34-59363.pdf,0
642,https://www.sec.gov/litigation/admin/34-44581.htm,1
643,https://www.sec.gov/litigation/admin/34-44511.htm,1
644,https://www.sec.gov/litigation/litreleases/lr17058.htm,1
645,https://www.sec.gov/litigation/admin/34-44473.htm,0
646,https://www.sec.gov/litigation/opinions/34-49182.htm,0
647,https://www.sec.gov/litigation/litreleases/lr17024.htm,0
648,https://www.sec.gov/litigation/admin/34-44388.htm,0
649,https://www.sec.gov/litigation/litreleases/lr16924.htm,1
650,https://www.sec.gov/litigation/admin/34-43532.htm,0
651,https://www.sec.gov/litigation/admin/34-52813.pdf,0
652,https://www.sec.gov/litigation/admin/34-43183.htm,1
653,https://www.sec.gov/litigation/litreleases/lr16634.htm,1
654,https://www.sec.gov/litigation/litreleases/lr16625.htm,1
659,https://www.sec.gov/litigation/litreleases/lr16614.htm,1
660,https://www.sec.gov/litigation/admin/34-42981.htm,0
661,https://www.sec.gov/litigation/litreleases/lr16609.htm,1
662,https://www.sec.gov/litigation/litreleases/lr19557.htm,1
663,https://www.sec.gov/litigation/litreleases/2010/lr21548.htm,1
664,https://www.sec.gov/litigation/litreleases/lr16580.htm,1
665,https://www.sec.gov/litigation/litreleases/lr16518.htm,1
666,https://www.sec.gov/litigation/admin/34-42673.htm,0
667,https://www.sec.gov/litigation/litreleases/lr16492.htm,1
668,https://www.sec.gov/litigation/litreleases/lr16476.htm,1
669,https://www.sec.gov/litigation/litreleases/lr16466.htm,1
670,https://www.sec.gov/litigation/litreleases/lr16444.htm,1
671,https://www.sec.gov/litigation/admin/34-42420.htm,1
672,https://www.sec.gov/litigation/admin/2008/34-57709.pdf,0
673,https://www.sec.gov/litigation/admin/34-43622.htm,0
674,https://www.sec.gov/litigation/litreleases/2007/lr20124.htm,1
675,https://www.sec.gov/litigation/litreleases/lr16409.htm,0
676,https://www.sec.gov/litigation/admin/34-42229.htm,1
677,https://www.sec.gov/litigation/admin/34-42199.htm,1
678,https://www.sec.gov/litigation/litreleases/lr16354.htm,1
679,https://www.sec.gov/litigation/litreleases/lr18695.htm,0
680,https://www.sec.gov/litigation/admin/34-42082.htm,1
681,https://www.sec.gov/litigation/aljdec/id184fo.htm,0
759,https://www.sec.gov/litigation/admin/34-42387.htm,0
760,https://www.sec.gov/litigation/admin/33-7854.htm,1
762,https://www.sec.gov/litigation/litreleases/2013/lr22875.htm,0
766,https://www.sec.gov/litigation/litreleases/lr16417.htm,1
767,https://www.sec.gov/litigation/admin/34-43249.htm,0
796,https://www.sec.gov/litigation/litreleases/2009/lr21213.htm,1
805,https://www.sec.gov/litigation/admin/2009/34-60484.pdf,0
809,https://www.sec.gov/litigation/admin/34-50995.htm,0
811,https://www.sec.gov/litigation/admin/34-42157.htm,0
812,https://www.sec.gov/litigation/admin/34-42316.htm,0
813,https://www.sec.gov/litigation/admin/34-42438.htm,0
814,https://www.sec.gov/litigation/litreleases/lr16457.htm,1
815,https://www.sec.gov/litigation/admin/34-42901.htm,1
816,https://www.sec.gov/litigation/admin/33-7851.htm,1
817,https://www.sec.gov/litigation/admin/34-44240.htm,0
818,https://www.sec.gov/litigation/litreleases/lr16562.htm,1
819,https://www.sec.gov/litigation/litreleases/lr16689.htm,1
820,https://www.sec.gov/litigation/litreleases/lr16433.htm,0
833,https://www.sec.gov/litigation/admin/2009/34-59903.pdf,0
838,https://www.sec.gov/litigation/opinions/34-51920.pdf,0
839,https://www.sec.gov/litigation/admin/34-43446.htm,1
840,https://www.sec.gov/litigation/litreleases/lr17770.htm,1
841,https://www.sec.gov/litigation/admin/34-43071.htm,0
842,https://www.sec.gov/litigation/admin/34-43123.htm,1
843,https://www.sec.gov/litigation/litreleases/lr16657.htm,1
844,https://www.sec.gov/litigation/admin/34-43327.htm,1
845,https://www.sec.gov/litigation/opinions/34-43235.htm,1
846,https://www.sec.gov/litigation/litreleases/lr16692.htm,1
847,https://www.sec.gov/litigation/litreleases/lr16702.htm,1
848,https://www.sec.gov/litigation/admin/34-43389.htm,1
849,https://www.sec.gov/litigation/litreleases/lr18706.htm,1
850,https://www.sec.gov/litigation/litreleases/2007/lr20231.htm,1
851,https://www.sec.gov/litigation/litreleases/lr16751.htm,1
852,https://www.sec.gov/litigation/litreleases/lr16753.htm,1
853,https://www.sec.gov/litigation/litreleases/lr16767.htm,0
854,https://www.sec.gov/litigation/litreleases/lr16792.htm,1
855,https://www.sec.gov/litigation/admin/34-43570.htm,0
856,https://www.sec.gov/litigation/admin/33-7916.htm,1
857,https://www.sec.gov/litigation/admin/33-7917.htm,1
858,https://www.sec.gov/litigation/admin/34-43962.htm,0
859,https://www.sec.gov/litigation/admin/34-44136.htm,0
860,https://www.sec.gov/litigation/litreleases/lr17586.htm,1
861,https://www.sec.gov/litigation/litreleases/lr16964.htm,0
862,https://www.sec.gov/litigation/litreleases/lr16968.htm,0
863,https://www.sec.gov/litigation/litreleases/lr16975.htm,1
864,https://www.sec.gov/litigation/admin/34-44229.htm,1
865,https://www.sec.gov/litigation/admin/34-44308.htm,0
866,https://www.sec.gov/litigation/admin/34-44346.htm,0
867,https://www.sec.gov/litigation/admin/34-53334.pdf,0
868,https://www.sec.gov/litigation/litreleases/lr17115.htm,1
