"aaer_event_key","first_release_url","most_recent_release_url"
905,"https://www.sec.gov/litigation/admin/34-46215.htm","https://www.sec.gov/litigation/admin/34-46215.htm"
906,"https://www.sec.gov/litigation/litreleases/lr17578.htm","https://www.sec.gov/litigation/litreleases/lr19617.htm"
907,"https://www.sec.gov/litigation/admin/34-46099.htm","https://www.sec.gov/litigation/litreleases/lr18728.htm"
908,"https://www.sec.gov/litigation/admin/33-8104.htm","https://www.sec.gov/litigation/litreleases/lr17557.htm"
909,"https://www.sec.gov/litigation/litreleases/lr16888.htm","https://www.sec.gov/litigation/admin/34-48341.htm"
910,"https://www.sec.gov/litigation/litreleases/lr17859a.htm","https://www.sec.gov/litigation/admin/2010/34-62486.pdf"
911,"https://www.sec.gov/litigation/litreleases/lr17692.htm","https://www.sec.gov/litigation/admin/2013/34-68661.pdf"
912,"https://www.sec.gov/litigation/litreleases/lr18469.htm","https://www.sec.gov/litigation/litreleases/lr18469.htm"
913,"https://www.sec.gov/litigation/admin/34-48901.htm","https://www.sec.gov/litigation/admin/34-48901.htm"
914,"https://www.sec.gov/litigation/admin/34-48546.htm","https://www.sec.gov/litigation/opinions/34-51950.pdf"
915,"https://www.sec.gov/litigation/litreleases/lr18504.htm","https://www.sec.gov/litigation/litreleases/lr18566.htm"
916,"https://www.sec.gov/litigation/admin/34-48549.htm","https://www.sec.gov/litigation/admin/34-48549.htm"
917,"https://www.sec.gov/litigation/litreleases/lr18371.htm","https://www.sec.gov/litigation/litreleases/lr19532.htm"
918,"https://www.sec.gov/litigation/litreleases/lr18382.htm","https://www.sec.gov/litigation/litreleases/lr18739.htm"
919,"https://www.sec.gov/litigation/admin/34-48580.htm","https://www.sec.gov/litigation/admin/34-48580.htm"
920,"https://www.sec.gov/litigation/litreleases/lr18388.htm","https://www.sec.gov/litigation/litreleases/lr18773.htm"
921,"https://www.sec.gov/litigation/admin/34-48608.htm","https://www.sec.gov/litigation/litreleases/lr18402.htm"
922,"https://www.sec.gov/litigation/admin/34-48629.htm","https://www.sec.gov/litigation/admin/34-48679.htm"
923,"https://www.sec.gov/litigation/admin/34-48654.htm","https://www.sec.gov/litigation/admin/34-48655.htm"
924,"https://www.sec.gov/litigation/admin/34-48951.htm","https://www.sec.gov/litigation/litreleases/lr18514.htm"
925,"https://www.sec.gov/litigation/admin/34-48638.htm","https://www.sec.gov/litigation/litreleases/lr18412.htm"
926,"https://www.sec.gov/litigation/admin/34-48961.htm","https://www.sec.gov/litigation/admin/34-48961.htm"
927,"https://www.sec.gov/litigation/admin/34-48962.htm","https://www.sec.gov/litigation/litreleases/lr18536.htm"
928,"https://www.sec.gov/litigation/admin/34-48783.htm","https://www.sec.gov/litigation/admin/34-48783.htm"
929,"https://www.sec.gov/litigation/litreleases/lr18523.htm","https://www.sec.gov/litigation/admin/2008/34-57612.pdf"
930,"https://www.sec.gov/litigation/litreleases/lr18527.htm","https://www.sec.gov/litigation/litreleases/lr18803.htm"
931,"https://www.sec.gov/litigation/litreleases/lr18199.htm","https://www.sec.gov/litigation/admin/2009/34-59817.pdf"
936,"https://www.sec.gov/litigation/admin/34-48182.htm","https://www.sec.gov/litigation/admin/34-48182.htm"
937,"https://www.sec.gov/litigation/litreleases/lr18229.htm","https://www.sec.gov/litigation/litreleases/lr18686.htm"
938,"https://www.sec.gov/litigation/admin/34-48214.htm","https://www.sec.gov/litigation/admin/34-48214.htm"
939,"https://www.sec.gov/litigation/admin/33-8259.htm","https://www.sec.gov/litigation/opinions/33-8555.pdf"
940,"https://www.sec.gov/litigation/litreleases/lr18271.htm","https://www.sec.gov/litigation/admin/34-48282.htm"
941,"https://www.sec.gov/litigation/litreleases/lr18275.htm","https://www.sec.gov/litigation/litreleases/lr19286.htm"
942,"https://www.sec.gov/litigation/admin/34-48296.htm","https://www.sec.gov/litigation/admin/34-51057.htm"
943,"https://www.sec.gov/litigation/admin/33-7994.htm","https://www.sec.gov/litigation/litreleases/lr18871.htm"
944,"https://www.sec.gov/litigation/admin/34-48330.htm","https://www.sec.gov/litigation/admin/34-48330.htm"
945,"https://www.sec.gov/litigation/admin/34-45941.htm","https://www.sec.gov/litigation/admin/34-45941.htm"
946,"https://www.sec.gov/litigation/admin/34-43724.htm","https://www.sec.gov/litigation/admin/2007/34-56755.pdf"
947,"https://www.sec.gov/litigation/admin/34-46052.htm","https://www.sec.gov/litigation/litreleases/lr17550.htm"
948,"https://www.sec.gov/litigation/litreleases/lr18000.htm","https://www.sec.gov/litigation/litreleases/lr18000.htm"
949,"https://www.sec.gov/litigation/litreleases/lr16835.htm","https://www.sec.gov/litigation/litreleases/lr16835.htm"
950,"https://www.sec.gov/litigation/admin/34-43809.htm","https://www.sec.gov/litigation/litreleases/lr16887.htm"
951,"https://www.sec.gov/litigation/litreleases/lr16866.htm","https://www.sec.gov/litigation/litreleases/lr19165a.htm"
952,"https://www.sec.gov/litigation/admin/33-7953.htm","https://www.sec.gov/litigation/admin/33-7953.htm"
953,"https://www.sec.gov/litigation/admin/34-48480.htm","https://www.sec.gov/litigation/admin/34-48536.htm"
954,"https://www.sec.gov/litigation/litreleases/lr18374.htm","https://www.sec.gov/litigation/admin/34-51374.pdf"
955,"https://www.sec.gov/litigation/admin/33-8296.htm","https://www.sec.gov/litigation/admin/33-8296.htm"
956,"https://www.sec.gov/litigation/litreleases/lr18387.htm","https://www.sec.gov/litigation/litreleases/lr19487.htm"
957,"https://www.sec.gov/litigation/admin/34-46954.htm","https://www.sec.gov/litigation/admin/34-46954.htm"
958,"https://www.sec.gov/litigation/admin/34-47894.htm","https://www.sec.gov/litigation/admin/34-47894.htm"
959,"https://www.sec.gov/litigation/admin/34-47907.htm","https://www.sec.gov/litigation/admin/34-47907.htm"
960,"https://www.sec.gov/litigation/admin/34-47997.htm","https://www.sec.gov/litigation/admin/34-47997.htm"
961,"https://www.sec.gov/litigation/litreleases/lr18201.htm","https://www.sec.gov/litigation/admin/34-48085.htm"
962,"https://www.sec.gov/litigation/admin/34-44264.htm","https://www.sec.gov/litigation/admin/34-44264.htm"
963,"https://www.sec.gov/litigation/litreleases/lr16738.htm","https://www.sec.gov/litigation/litreleases/lr16738.htm"
965,"https://www.sec.gov/litigation/admin/34-43761.htm","https://www.sec.gov/litigation/litreleases/lr16839.htm"
966,"https://www.sec.gov/litigation/opinions/34-43862.htm","https://www.sec.gov/litigation/admin/34-44050.htm"
967,"https://www.sec.gov/litigation/litreleases/lr18464.htm","https://www.sec.gov/litigation/litreleases/lr19279.htm"
968,"https://www.sec.gov/litigation/admin/34-44072.htm","https://www.sec.gov/litigation/admin/34-44072.htm"
969,"https://www.sec.gov/litigation/litreleases/lr16948.htm","https://www.sec.gov/litigation/litreleases/lr16948.htm"
972,"https://www.sec.gov/litigation/litreleases/lr17118.htm","https://www.sec.gov/litigation/admin/34-52763.pdf"
973,"https://www.sec.gov/litigation/admin/34-44814.htm","https://www.sec.gov/litigation/admin/34-50424.htm"
988,"https://www.sec.gov/litigation/admin/34-44858.htm","https://www.sec.gov/litigation/admin/34-44858.htm"
992,"https://www.sec.gov/litigation/admin/34-47405.htm","https://www.sec.gov/litigation/admin/2007/34-56562.pdf"
998,"https://www.sec.gov/litigation/opinions/34-48372.htm","https://www.sec.gov/litigation/opinions/34-50480.htm"
1157,"https://www.sec.gov/litigation/litreleases/lr18403.htm","https://www.sec.gov/litigation/litreleases/2015/lr23422.htm"
1174,"https://www.sec.gov/litigation/admin/34-48542.htm","https://www.sec.gov/litigation/admin/2007/34-55133.pdf"
1281,"https://www.sec.gov/litigation/litreleases/lr18503.htm","https://www.sec.gov/litigation/litreleases/lr18503.htm"
1288,"https://www.sec.gov/litigation/litreleases/lr18485.htm","https://www.sec.gov/litigation/litreleases/lr18702.htm"
1309,"https://www.sec.gov/litigation/admin/34-45272.htm","https://www.sec.gov/litigation/admin/34-45272.htm"
1310,"https://www.sec.gov/litigation/admin/34-45964.htm","https://www.sec.gov/litigation/admin/33-8146.htm"
1312,"https://www.sec.gov/litigation/admin/33-8052.htm","https://www.sec.gov/litigation/admin/33-8052.htm"
1316,"https://www.sec.gov/litigation/admin/34-47979.htm","https://www.sec.gov/litigation/admin/2008/34-59058.pdf"
1318,"https://www.sec.gov/litigation/admin/34-46130.htm","https://www.sec.gov/litigation/admin/34-46130.htm"
1319,"https://www.sec.gov/litigation/admin/34-46216.htm","https://www.sec.gov/litigation/admin/34-46216.htm"
1320,"https://www.sec.gov/litigation/admin/34-47900.htm","https://www.sec.gov/litigation/admin/34-47901.htm"
1328,"https://www.sec.gov/litigation/litreleases/lr18252.htm","https://www.sec.gov/litigation/litreleases/lr18252.htm"
1329,"https://www.sec.gov/litigation/admin/34-48230.htm","https://www.sec.gov/litigation/admin/34-48230.htm"
1330,"https://www.sec.gov/litigation/opinions/34-48246.htm","https://www.sec.gov/litigation/opinions/34-48246.htm"
1331,"https://www.sec.gov/litigation/litreleases/lr18293.htm","https://www.sec.gov/litigation/litreleases/lr18293.htm"
1337,"https://www.sec.gov/litigation/admin/34-42586.htm","https://www.sec.gov/litigation/litreleases/lr16489.htm"
1339,"https://www.sec.gov/litigation/litreleases/lr18332.htm","https://www.sec.gov/litigation/litreleases/lr18332.htm"
